articleNr	reviewer_01	outlet	date	title	PUBL	COUNTRY	PUBDATE	PUBWEEK	count_ebolasurvivor	count_ebolavictim	count_liberia	count_guinea	count_sierraleone	count_westafrica	count_teresaromero	count_teresaromero ramos	count_spanish	count_spain	count_spanishnurse	count_excalibur	count_carlosiii hospital	count_thomaseric duncan	count_texaspresbyterian hospital	count_dallas	count_texas	count_ambervinson	count_emoryhospital	count_emoryuniversity hospital	count_dallasnurse	count_ninapham	count_nihclinical center	count_bethesda,maryland	count_kentbrantly	count_craigspencer	count_bellevuehospital	count_newyork doctor	count_willpooley	count_williampooley	count_pooley	count_britishnurse	count_britishebola victim	count_royalfree hospital	count_nancywritebol	count_ricksacra	count_ashokamukpo	count_cameraman	count_british-americannbc cameraman	count_martinsalia”	count_“universityof nebraska medical center	count_nebraskamedical center	count_leipzig	count_unworker	count_germanaid worker	count_stgeorg clinic	count_iancrozier	count_miguelpajares	count_brotherpajares	count_brothershospitallers of st. john of god	count_manuelgarcía viejo	count_manuelviejo	count_garciaviejo	count_garcíaviejo	count_sanjuan de dios	count_frenchnurse	count_frenchmedical worker	count_frenchaid worker	count_frenchun worker	count_frenchun employee	count_frenchunited nations worker	count_frenchunited nations employee	count_beginmilitary hospital	count_hospitalbegin	count_whoemployee	count_whoworker	count_worldhealth organisation worker	count_worldhealth organisation employee	count_worldhealth organization worker	count_worldhealth organization employee	count_hamburg	count_timowolf	count_frankfurt	count_norwegianwoman	count_norwegianvictim	count_msfworker	count_msfemployee	all
30	Lindsay	The Guardian 	October 23, 2014 Thursday 11:35 AM GMT  	Juncker tells Cameron: you can't destroy EU migration rules; Commission president warns PM over 'irresponsibility' as new poll reveals 56% support in Britain for remaining in union 	[UK] The Guardian	UK	2014-10-23	42	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
31	Kevin	The Guardian 	October 23, 2014 Thursday 7:30 AM GMT  	Boot up: fake news sites, Apple Pay glitches, Xiaomi shifts data location; Plus Sony to cut on smartphones?, warning on third-party SSDs with Yosemite, fast-charging batteries, and more 	[UK] The Guardian	UK	2014-10-23	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
32	Sara	The Guardian 	October 23, 2014 Thursday 12:05 AM GMT  	Juncker tells Cameron: you can't destroy EU migration rules; Commission president warns PM over 'irresponsibility' as new poll reveals 56% support in Britain for remaining in union 	[UK] The Guardian	UK	2014-10-23	42	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
33	Fiona	The Guardian 	October 22, 2014 Wednesday 6:19 PM GMT  	US to monitor all visitors from Ebola-hit African countries for 21 days; Ashoka Mukpo had covered the outbreak in Liberia'Too many are not as lucky as I've been' 	[UK] The Guardian	UK	2014-10-22	42	1	0	4	1	1	1	0	0	0	0	0	0	0	1	0	1	1	1	0	2	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
34	Ines	The Guardian 	October 22, 2014 Wednesday 11:37 AM GMT  	WHO aims for Ebola serum in weeks and vaccine tests in Africa by January; Details given of two vaccines being fast-tracked for trial on 20,000 health workers and antibody serum planned for Liberia 	[UK] The Guardian	UK	2014-10-22	42	1	0	5	2	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
35	Kevin	The Guardian 	October 22, 2014 Wednesday 4:32 AM GMT  	WHO aims for Ebola serum in weeks and vaccine tests in Africa by January; Details given of two vaccines being fast-tracked for trial on 20,000 health workers and antibody serum planned for Liberia 	[UK] The Guardian	UK	2014-10-22	42	1	0	5	2	2	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
36	Peter	The Guardian 	October 22, 2014 Wednesday 12:34 AM GMT  	Spanish nurse free of Ebola after more than two weeks in hospital; Tests for virus come back negative for Teresa Romero Ramos, first person to contract disease outside west Africa 	[UK] The Guardian	UK	2014-10-22	42	1	0	0	0	0	2	1	1	1	3	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
37	Richard	The Guardian 	October 22, 2014 Wednesday 12:03 AM GMT  	Ebola: Liberian president phones Dallas mayor about infected nurses; Exclusive: Mike Rawlings said President Ellen Johnson Sirleaf had said she felt accountable for the situation in the Texan city 	[UK] The Guardian	UK	2014-10-22	42	0	0	6	0	0	1	0	0	0	0	0	0	0	1	0	5	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
38	Jocelyn	The Guardian (London) - Final Edition 	October 22, 2014 Wednesday 	Spain: Nurse free of Ebola after two weeks in hospital 	[UK] The Guardian	UK	2014-10-22	42	1	0	0	0	0	2	1	1	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
39	Fiona	The Inquirer (Monrovia) 	October 22, 2014 	'China Stands With Liberia' 	[LI] The Inquirer	LI	2014-10-22	42	0	0	18	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
40	Peter	The Daily Telegraph (London) 	October 21, 2014 Tuesday  Edition 1; National Edition 	Nigeria declared Ebola-free after 1,000 put in quarantine 	[UK] The Telegraph	UK	2014-10-21	42	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
41	Sara	The Guardian 	October 21, 2014 Tuesday 7:41 PM GMT  	Justine Greening meets British Ebola survivor Will Pooley in Sierra Leone; Minister visits Freetown clinic as part of UK £125m response to crisis, meeting nurse who returned after recovering from virus 	[UK] The Guardian	UK	2014-10-21	42	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
42	Fathima	The Guardian 	October 21, 2014 Tuesday 11:24 AM GMT  	Parents of nurse who survived Ebola back his decision to return to Africa; William Pooley's parents, Robin and Jackie, speak of their pride at their son's bravery in facing risk of catching disease again 	[UK] The Guardian	UK	2014-10-21	42	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	10	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
43	Matt	The Guardian 	October 21, 2014 Tuesday 12:30 AM GMT  	It's Black History Month, and some responses are a tad predictable; The Florence Nightingale lobby is sharpening its pencils as the White History Month brigade limbers up 	[UK] The Guardian	UK	2014-10-21	42	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
