outlet	date	title	PUBL	COUNTRY	PUBDATE	PUBWEEK	count_ebolasurvivor	count_ebolavictim	count_liberia	count_guinea	count_sierraleone	count_westafrica	count_teresaromero	count_teresaromero ramos	count_spanish	count_spain	count_spanishnurse	count_excalibur	count_carlosiii hospital	count_thomaseric duncan	count_texaspresbyterian hospital	count_dallas	count_texas	count_ambervinson	count_emoryhospital	count_emoryuniversity hospital	count_dallasnurse	count_ninapham	count_nihclinical center	count_bethesda,maryland	count_kentbrantly	count_craigspencer	count_bellevuehospital	count_newyork doctor	count_willpooley	count_williampooley	count_pooley	count_britishnurse	count_britishebola victim	count_royalfree hospital	count_nancywritebol	count_ricksacra	count_ashokamukpo	count_cameraman	count_british-americannbc cameraman	count_martinsalia”	count_“universityof nebraska medical center	count_nebraskamedical center	count_leipzig	count_unworker	count_germanaid worker	count_stgeorg clinic	count_iancrozier	count_miguelpajares	count_brotherpajares	count_brothershospitallers of st. john of god	count_manuelgarcía viejo	count_manuelviejo	count_garciaviejo	count_garcíaviejo	count_sanjuan de dios	count_frenchnurse	count_frenchmedical worker	count_frenchaid worker	count_frenchun worker	count_frenchun employee	count_frenchunited nations worker	count_frenchunited nations employee	count_beginmilitary hospital	count_hospitalbegin	count_whoemployee	count_whoworker	count_worldhealth organisation worker	count_worldhealth organisation employee	count_worldhealth organization worker	count_worldhealth organization employee	count_hamburg	count_timowolf	count_frankfurt	count_norwegianwoman	count_norwegianvictim	count_msfworker	count_msfemployee
The Guardian 	October 31, 2014 Friday 5:31 PM GMT  	block-time published-time 5.07pm GMT European; The Dow Jones industrial average has hit a new record high, as investors cheer the Bank of Japan's new stimulus programmeSummary: Markets surge as BoJ boosts stimulus plan 	[UK] The Guardian	UK	2014-10-31	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 31, 2014 Friday 3:55 PM GMT  	Maine nurse can leave home but must maintain 3ft distance from others, court rules; State obtains temporary court order forcing Kaci Hickox to follow CDC's Ebola guidelines, but Hickox will not be subject to home quarantine 	[UK] The Guardian	UK	2014-10-31	43	0	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 30, 2014 Thursday 8:45 PM GMT  	Morning Mail: Nova Peris, Direct Action, Ebola and national security; Guardian Australia's morning news briefing from around the web 	[UK] The Guardian	UK	2014-10-30	43	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 30, 2014 Thursday 8:25 PM GMT  	Kaci Hickox defies 'excessive' Ebola quarantine by taking a bike ride; 'Completely healthy' nurse says talks for amicable solution failedMaine police powerless to make an arrest without court order 	[UK] The Guardian	UK	2014-10-30	43	0	0	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 30, 2014 Thursday 8:20 PM GMT  	Maine prepared to go to court to enforce nurse's Ebola quarantine order; Officials plead with Kaci Hickox to abide by 21-day order 'I have been this entire time completely symptom-free' 	[UK] The Guardian	UK	2014-10-30	43	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 30, 2014 Thursday 5:18 PM GMT  	Homeopaths offer services 'to help fight' Ebola epidemic in west Africa; Scientists condemn homeopaths as 'irresponsible' and 'cruel' for offering victims false hope and for 'putting lives at risk' 	[UK] The Guardian	UK	2014-10-30	43	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 30, 2014 Thursday 5:13 PM GMT  	Maine nurse defies 'excessive' Ebola quarantine by taking a bike ride; 'Completely healthy' Kaci Hickox says talks for amicable solution failedPolice powerless to make an arrest without court order 	[UK] The Guardian	UK	2014-10-30	43	0	0	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 30, 2014 Thursday 5:09 PM GMT  	Homeopaths offer services 'to help fight Ebola epidemic'; Science groups criticise promotion of homeopathy as undermining conventional medicine and 'putting lives at risk' 	[UK] The Guardian	UK	2014-10-30	43	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 30, 2014 Thursday 4:56 PM GMT  	Homeopaths offer services to help fight Ebola epidemic; Centre claims homeopathic remedies have been used to fight cholera and diphtheria but scientists say claims are unproven 	[UK] The Guardian	UK	2014-10-30	43	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 30, 2014 Thursday 4:54 PM GMT  	Scale of Ebola epidemic in Guinea forces WFP into uncharted territory; Crisis forces World Food Programme to operate beyond its remit by contributing to construction, transport and communications 	[UK] The Guardian	UK	2014-10-30	43	0	0	2	9	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 30, 2014 Thursday 3:33 PM GMT  	World Bank pledges $100m to send health workers to Ebola-hit countries; Treatment centres are being built in Liberia, Sierra Leone and Guinea but still big need for doctors and nurses to staff them 	[UK] The Guardian	UK	2014-10-30	43	0	0	1	1	2	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 30, 2014 Thursday 12:33 PM GMT  	South Sudanese refugees face flooding and difficult dynamics in Ethiopia; Amid fears of renewed conflict in South Sudan, ethnic rivalries are complicating efforts to move refugees from flooded camps 	[UK] The Guardian	UK	2014-10-30	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 30, 2014 Thursday 7:03 AM GMT  	Immigration won't reveal Ebola refugee ban advice because of 'national security'; Assistant minister says Senate order to table reasons for west-African refugee visa suspension has been refused to 'limit risk' 	[UK] The Guardian	UK	2014-10-30	43	0	0	1	1	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 30, 2014 Thursday 12:37 AM GMT  	Maine prepared to go to court to enforce nurse's Ebola quarantine order; Officials plead with Kaci Hickox to abide by 21-day order 'I have been this entire time completely symptom-free' 	[UK] The Guardian	UK	2014-10-30	43	0	0	1	1	2	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Daily Telegraph (London) 	October 29, 2014 Wednesday  Edition 1; National Edition 	I am so grateful to be well, says second US nurse to survive Ebola 	[UK] The Telegraph	UK	2014-10-29	43	0	0	1	1	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 29, 2014 Wednesday 8:29 PM GMT  	Morning Mail: Ebola vaccine efforts, Direct Action to pass, Hockey's pizza 'explosion'; Guardian Australia's morning news briefing from around the web 	[UK] The Guardian	UK	2014-10-29	43	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 29, 2014 Wednesday 6:25 PM GMT  	Ebola: Maine deploys state police to quarantined nurse's home; Kaci Hickox, who was held for days in an isolation tent in New Jersey, says she doesn't plan on obeying home quarantine in her home state 	[UK] The Guardian	UK	2014-10-29	43	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 29, 2014 Wednesday 5:25 PM GMT  	US troops on Ebola duty in Africa to face 21-day quarantine despite low risk; US military not in direct contact with Ebola sufferersCDC recommends 21-day isolation only for high-risk individuals 	[UK] The Guardian	UK	2014-10-29	43	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 29, 2014 Wednesday 4:20 PM GMT  	30 years after Ethiopia's famine, Ebola crisis update, and migrants' rights; Ethiopia's progress after the famine, catch up on the latest Ebola stories, and protecting migrants' and workers' human rights If you are viewing this on the web and would prefer to get it in your inbox every two weeks, register for the email edition 	[UK] The Guardian	UK	2014-10-29	43	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 29, 2014 Wednesday 3:52 PM GMT  	Third possible Ebola vaccine to be sped through human safety trials; Vaccine has so far been tested only in monkeys, but human trials set to start in Germany, Switzerland, Gabon and Kenya 	[UK] The Guardian	UK	2014-10-29	43	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 29, 2014 Wednesday 3:09 PM GMT  	Ebola: Maine nurse rejects state's request for further home quarantine; Kaci Hickox, who was held for days in an isolation tent in New Jersey, says she doesn't plan on obeying home quarantine in her home state 	[UK] The Guardian	UK	2014-10-29	43	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 29, 2014 Wednesday 12:01 AM GMT  	Low HIV and Aids rates saw west Africa 'miss out on health investment'; Ebola-hit region failed to secure substantial foreign aid in earlier epidemic, study says, and was unable to improve health systems 	[UK] The Guardian	UK	2014-10-29	43	0	0	1	1	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Daily Telegraph (London) 	October 28, 2014 Tuesday  Edition 2; National Edition 	New Jersey frees nurse in Ebola quarantine after outcry 	[UK] The Telegraph	UK	2014-10-28	43	0	2	1	3	2	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 28, 2014 Tuesday 8:55 PM GMT  	Conflicting Ebola guidelines put US defense secretary in a tough spot; Hagel's choice on quarantining troops returning from west Africa involves rebuking either government scientists or military leaders 	[UK] The Guardian	UK	2014-10-28	43	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 28, 2014 Tuesday 8:42 PM GMT  	Ebola: nurse held in New Jersey returns home with two weeks left of quarantine; Amount of freedom Kaci Hickox will have under quarantine in Maine remains unclear as states grapple with new measures 	[UK] The Guardian	UK	2014-10-28	43	0	0	1	1	2	8	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 28, 2014 Tuesday 8:34 PM GMT  	Morning Mail: Ebola visa clampdown, foreign fighters bill v human rights, state of the nation; Guardian Australia's morning news briefing from around the web 	[UK] The Guardian	UK	2014-10-28	43	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 28, 2014 Tuesday 5:37 PM GMT  	Nurse held in New Jersey returns home with two weeks left of Ebola quarantine; Amount of freedom Kaci Hickox will have under quarantine in Maine remains unclear as states grapple with new measures 	[UK] The Guardian	UK	2014-10-28	43	0	0	1	1	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 28, 2014 Tuesday 3:29 PM GMT  	30 years after Ethiopia's famine, Ebola crisis update, and migrants' rights; Ethiopia's progress after the famine, catch up on the latest Ebola stories, and protecting migrants' and workers' human rights If you are viewing this on the web and would prefer to get it in your inbox every two weeks, register for the email edition 	[UK] The Guardian	UK	2014-10-28	43	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 28, 2014 Tuesday 2:34 PM GMT  	Guardian Weekly Letters, 31 October 2014; Britain and the EU; IMF's economic forecast; the risk of Ebola 	[UK] The Guardian	UK	2014-10-28	43	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 28, 2014 Tuesday 1:00 PM GMT  	Republican politicians aren't climate scientists or responsible leaders; "I'm not a scientist" has become the latest popular response among Republican politicians for refusal to address climate change 	[UK] The Guardian	UK	2014-10-28	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 28, 2014 Tuesday 8:21 AM GMT  	block-time published-time 7.20pm AEST Night; Senate to consider second tranche of national security laws as PUP leader confirms party will vote against the deregulation of higher education. As it happened. 	[UK] The Guardian	UK	2014-10-28	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 28, 2014 Tuesday 7:00 AM GMT  	Ebola is a product of a destructive and exploitative global economic system; Deforestation and increasing demands on habitats to produce food don't just wreck the environment, they are increasing the risk of global pandemics like Ebola 	[UK] The Guardian	UK	2014-10-28	43	0	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 28, 2014 Tuesday 6:30 AM GMT  	block-time published-time 5.23pm AEST The; Senate to consider second tranche of national security laws as PUP leader confirms party will vote against the deregulation of higher education. Follow the day's developments live... 	[UK] The Guardian	UK	2014-10-28	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Guardian 	October 28, 2014 Tuesday 6:02 AM GMT  	block-time published-time 5.02pm AEST We; Senate to consider second tranche of national security laws as PUP leader confirms party will vote against the deregulation of higher education. Follow the day's developments live... 	[UK] The Guardian	UK	2014-10-28	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
