date	PUBWEEK	title
October 25, 2014 Saturday 3:19 PM GMT  	42	Obama stresses 'facts, not fear' in public response to Ebola in the US; 'We have to be guided by the science,' president saysWoman in New Jersey tests negative but remains in isolationWHO: Ebola cases pass 10,000 markNY and NJ introduce tough new quarantine measures 
October 25, 2014 Saturday 1:32 AM GMT  	42	New York and New Jersey issue tough new Ebola quarantine measure; Aid workers flying in from west Africa to be held for 21 daysGovernors: 'We're not comfortable with voluntary quarantine'Craig Spencer, 33, in hospital after becoming infectedNew York, the city that never shrieks 
October 24, 2014 Friday  Edition 2; National Edition 	42	Cameron names nations that give less than Ikea for Ebola aid 
October 24, 2014 Friday 8:30 PM GMT  	42	Strict Texas law makes Ebola lawsuits unlikely; Tort reform statutes and court rulings protect Texas hospitals from medical malpractice suits 
October 24, 2014 Friday 8:12 PM GMT  	42	Doctor at New York hospital tests positive for Ebola virus; Preliminary test confirms virus in Craig Spencer, a physician with Doctors Without Borders who had been working in west AfricaGary Younge: Ebola has exposed America's fearNew York begins cleanup at Ebola patient's home as officials urge calm 
October 24, 2014 Friday 7:59 PM GMT  	42	Ebola has arrived - but it's nothing for New York, the city that never cowers; Would the diagnosis of the first Ebola patient send New Yorkers into a tailspin? Nicky Woolf hit the streets to take the city's temperature - and finds a distinct lack of panicNew York officials begin cleanup at patient's homeColloidal silver and other Ebola scams 
October 24, 2014 Friday 7:55 AM GMT  	42	Ebola patient doctor tracked to New York trains, taxis and the High Line; Epidemiologists use Craig Spencer's Metrocard and credit card to trace his movements around the city 
October 24, 2014 Friday 7:41 AM GMT  	42	Ebola crisis: Doctor at New York hospital tests positive; Preliminary test confirms virus in Craig Spencer, a physician with Doctors Without Borders who had been working in west AfricaGary Younge: Ebola has exposed America's fear 
October 24, 2014 Friday 5:55 AM GMT  	42	Doctor tests positive for Ebola at New York hospital; Preliminary test confirms virus in Craig Spencer, a physician with Doctors Without Borders who had been working in west AfricaGary Younge: Ebola has exposed America's fear 
October 24, 2014 Friday 1:36 AM GMT  	42	Doctor tests positive for Ebola at New York hospital; Preliminary test confirms virus in Craig Spencer, a physician with Doctors Without Borders who had been working in west Africa 
October 23, 2014 Thursday 8:57 PM GMT  	42	Doctor who treated Ebola patients in Guinea rushed to hospital in New York; Physician, believed to be a 33-year-old man who was working in west Africa, treated for fever and 'gastrointestinal symptoms' 
October 23, 2014 Thursday 5:43 PM GMT  	42	Cuba calling: what this small island can teach the world about disease control; West Africa needs what Cuba has: a well-trained, coordinated healthcare system. Anything less and Ebola wins 
October 23, 2014 Thursday 11:35 AM GMT  	42	Juncker tells Cameron: you can't destroy EU migration rules; Commission president warns PM over 'irresponsibility' as new poll reveals 56% support in Britain for remaining in union 
October 23, 2014 Thursday 7:30 AM GMT  	42	Boot up: fake news sites, Apple Pay glitches, Xiaomi shifts data location; Plus Sony to cut on smartphones?, warning on third-party SSDs with Yosemite, fast-charging batteries, and more 
October 23, 2014 Thursday 12:05 AM GMT  	42	Juncker tells Cameron: you can't destroy EU migration rules; Commission president warns PM over 'irresponsibility' as new poll reveals 56% support in Britain for remaining in union 
October 22, 2014 Wednesday 6:19 PM GMT  	42	US to monitor all visitors from Ebola-hit African countries for 21 days; Ashoka Mukpo had covered the outbreak in Liberia'Too many are not as lucky as I've been' 
October 22, 2014 Wednesday 11:37 AM GMT  	42	WHO aims for Ebola serum in weeks and vaccine tests in Africa by January; Details given of two vaccines being fast-tracked for trial on 20,000 health workers and antibody serum planned for Liberia 
October 22, 2014 Wednesday 4:32 AM GMT  	42	WHO aims for Ebola serum in weeks and vaccine tests in Africa by January; Details given of two vaccines being fast-tracked for trial on 20,000 health workers and antibody serum planned for Liberia 
October 22, 2014 Wednesday 12:34 AM GMT  	42	Spanish nurse free of Ebola after more than two weeks in hospital; Tests for virus come back negative for Teresa Romero Ramos, first person to contract disease outside west Africa 
October 22, 2014 Wednesday 12:03 AM GMT  	42	Ebola: Liberian president phones Dallas mayor about infected nurses; Exclusive: Mike Rawlings said President Ellen Johnson Sirleaf had said she felt accountable for the situation in the Texan city 
October 22, 2014 Wednesday 	42	Spain: Nurse free of Ebola after two weeks in hospital 
October 22, 2014 	42	'China Stands With Liberia' 
October 21, 2014 Tuesday  Edition 1; National Edition 	42	Nigeria declared Ebola-free after 1,000 put in quarantine 
October 21, 2014 Tuesday 7:41 PM GMT  	42	Justine Greening meets British Ebola survivor Will Pooley in Sierra Leone; Minister visits Freetown clinic as part of UK £125m response to crisis, meeting nurse who returned after recovering from virus 
October 21, 2014 Tuesday 11:24 AM GMT  	42	Parents of nurse who survived Ebola back his decision to return to Africa; William Pooley's parents, Robin and Jackie, speak of their pride at their son's bravery in facing risk of catching disease again 
October 21, 2014 Tuesday 12:30 AM GMT  	42	It's Black History Month, and some responses are a tad predictable; The Florence Nightingale lobby is sharpening its pencils as the White History Month brigade limbers up 
October 21, 2014 Tuesday 	42	Notebook White History Month is already here Hugh Muir 
October 21, 2014 Tuesday 	42	Journal: Opinion: Notebook: White History Month is already here 
October 21, 2014 	42	Quarantine Ends for Ebola Patient's Contacts 
October 20, 2014 Monday  Edition 1; Scotland 	42	Ikea Ebola donation dwarfs Spain's 
October 20, 2014 Monday 	42	Journal: Opinion: Ebola: a proxy for American conservatives' hatred of Obama: The virus is a metaphor for all the right loathes, and puts the president's policies under renewed attack 
October 20, 2014 Monday 	42	'I just want to get back to work' - Ebola survivor Pooley returns to Sierra Leone: Decision was easy despite family's fears, says Briton: Nurse fears indifference to Africans' plight will return 
October 20, 2014 Monday 	42	Nurse 'has beaten virus' 
October 20, 2014 Monday 	42	All-clear for cruise ship fails to quell row over US response to virus 
October 20, 2014 	42	Minister Ngafuan Provides Update On Donation to Liberia 
October 18, 2014 Saturday  Edition 1; National Edition 	41	Carnival steadies after Ebola scare; Market report 
October 18, 2014 Saturday  Edition 2; National Edition 	41	Ebola screening widens amid 'biggest threat in a generation' 
October 18, 2014 Saturday  Edition 2; National Edition 	41	Carnival steadies after Ebola scare; Market report 
October 18, 2014 Saturday 	41	Saturday: Opinion: Isis and Ebola: the twin threats that reveal our impotence: In our sense of terror, both feed each other. But from airports to airstrikes, the response is ineffective 
October 18, 2014 Saturday 	41	Ebola: Ebola 'hysteria' in west could be hampering nursing call up 
October 18, 2014 Saturday 	41	Isis and Ebola: the twin threats that reveal our impotence Jonathan Freedland: In our sense of terror, both feed each other. But from airports to airstrikes, the response is ineffective 
October 18, 2014 Saturday 	41	Ebola 'hysteria' in west could be hampering nursing call up 
October 17, 2014 Friday 	41	AIR PASSENGER IN PROTECTIVE SUIT AS EBOLA FEARS START TO GRIP THE WEST 
October 17, 2014 Friday  Edition 1; National Edition 	41	Ebola may be gruesome but it's not the biggest threat to Africa; Malaria has killed 70 times more people this year - eventhough it's very easy to prevent 
October 17, 2014 Friday  Edition 1; National Edition 	41	US hospital apologises over Ebola 'chaos' 
October 17, 2014 Friday  Edition 1; National Edition 	41	Health chiefs increase efforts to aid 15 African countries 
October 17, 2014 Friday  Edition 2; National Edition 	41	US hospital apologises over Ebola 'chaos' 
October 17, 2014 Friday  Edition 3; National Edition 	41	US hospital apologises over Ebola 'chaos' 
October 17, 2014 Friday  Edition 1; Scotland 	41	Ebola airport checks must take place across Europe, says Cameron 
October 17, 2014 Friday 	41	Factory figures help bring calm to markets after days of turmoil: Central bank intervention in US adds to optimism: EU forced to pledge 'all help possible' to Greece 
October 17, 2014 Friday 	41	Ebola crisis: Spanish scare 
October 17, 2014 Friday 	41	Ebola crisis: Texas: Hospital apologises for misdiagnosis and misinforming the public 
October 17, 2014 Friday 	41	Ebola crisis: Vaccine may be only chance to control disease: Shots being fast-tracked through trials could be used on frontline by Christmas 
October 16, 2014 Thursday 	41	EBOLA WIPES £46BN OFF UK SHARES 
October 16, 2014 Thursday  Edition 1; National Edition 	41	Second US nurse falls victim to Ebola virus 
October 16, 2014 Thursday  Edition 3; National Edition 	41	Second US nurse falls victim to Ebola virus 
October 16, 2014 Thursday 	41	Shares slump amid fears of global slowdown: Biggest one-day fall for FTSE 100 since June 2013: Oil price at four-year low but Opec reluctant to act 
October 16, 2014 Thursday 	41	Ebola crisis: Search is on for 132 passengers who flew with infected nurse: Appeal to find those on a flight from Cleveland to Dallas, as officials examine how another nurse contracted the disease 
October 16, 2014 Thursday 	41	Ebola crisis: Back to the frontline 
October 15, 2014 Wednesday 	41	Front: Ebola: warning of 10,000 new cases a week: Health chief predicts rapid spread of virus with death rate running at 70% 
October 15, 2014 Wednesday 	41	G2: America needs to stop talking about Ebola as if it's just another Dustin Hoffman germ-thriller 
October 14, 2014 Tuesday 	41	HUNT'S WARNING AS HEATHROW SCREENING STARTS TODAY 
October 14, 2014 Tuesday 	41	NO HEADLINE AVAILABLE 
October 14, 2014 Tuesday  Edition 1; National Edition 	41	Ebola screening may 'only catch flu patients and disrupt flights' 
October 14, 2014 Tuesday  Edition 3; National Edition 	41	Ebola crisis could rival Aids epidemic, says health minister 
October 14, 2014 Tuesday  Edition 1; Scotland 	41	Airport Ebola screening will do little except catch flu patients, experts warn 
October 14, 2014 Tuesday 	41	US health authorities urged to improve treatment plan: International response 
October 14, 2014 Tuesday 	41	Ebola crisis: International response: US health authorities urged to improve treatment plan 
October 13, 2014 	41	House Crushes Ellen's Request - Senate Embroiled in Debate for Excess Executive Powers 
October 13, 2014 Monday 	41	SCREENING WON'T STOP EBOLA FROM REACHING BRITAIN' 
October 13, 2014 Monday  Edition 2; National Edition 	41	Nurse becomes first victim of Ebola virus transmission in America 
October 13, 2014 Monday 	41	Ebola crisis: Spanish nurse stable 
October 13, 2014 Monday 	41	Ebola crisis: Analysis: Challenge of staying alive on the frontline 
October 13, 2014 Monday 	41	Ebola crisis: Texas hospital worker contracts Ebola: Woman had worn correct kit while caring for patient: Other staff may have been exposed, says health chief 
October 13, 2014 Monday 	41	Ebola crisis: London mayor says virus is almost certain to reach UK 
October 12, 2014 	41	Ebola Is No Curse From God - Rev. Dr. Kortu Brown 
October 12, 2014 Sunday 	41	AND DRESS REHEARSAL IN TYNE AND WEAR 
October 12, 2014 Sunday 	41	AND DRESS REHEARSAL IN TYNE AND WEAR 
October 11, 2014 Saturday 	40	EUROZONE IS IN EYE OF A STORM 
October 11, 2014 Saturday 	40	TRAVEL FIRMS SEE STOCK GROUNDED 
October 11, 2014 Saturday 	40	GONE GIRL AND THIS WORRYING DEMONISING OF HUSBANDS 
October 11, 2014 Saturday 	40	ANGRY NURSES PELT SPAIN PM WITH RUBBER GLOVES 
October 11, 2014 Saturday  Edition 1; National Edition 	40	Be calm, Ebola is not airborne; Unaffected countries' risk remains low, says Dr Richard Dawood Travel news 
October 11, 2014 Saturday  Edition 1; National Edition 	40	EBOLA NOW THREATENS THE WHOLE WORLD; The latest outbreak of the lethal disease is very different - worse still, it could mutate into something even more deadly, says Tim Butcher, who knows the infected area well 
October 11, 2014 Saturday  Edition 1; National Edition 	40	No flight back if UK nurses catch Ebola; Ebola screening is 'a complete waste of time' 
October 11, 2014 Saturday  Edition 1; Scotland 	40	No flight home if British nurses contract ebola 
October 11, 2014 Saturday 	40	Markets tumble as bad news snowballs: Investors are spooked by Ebola, prospect of a global slowdown and tensions in Middle East and Ukraine 
October 11, 2014 Saturday 	40	Staff refuse to treat suspected Ebola cases at Madrid hospital 
October 11, 2014 Saturday 	40	Ebola is frightening, but so are the prejudices such outbreaks provoke Kei Miller 
October 11, 2014 Saturday 	40	Markets tumble as bad news snowballs: Investors are spooked by Ebola, prospect of a global slowdown and tensions in Middle East and Ukraine 
October 11, 2014 Saturday 	40	Staff refuse to treat suspected Ebola cases at Madrid hospital 
October 11, 2014 Saturday 	40	Saturday: Ebola is frightening, but so are the prejudices such outbreaks provoke 
October 10, 2014 Friday 	40	SCREENING SHAMBLES OVER EBOLA 
October 10, 2014 Friday 	40	FEARS OVER AUSTRALIAN VOLUNTEER NURSE 
October 10, 2014 Friday 	40	HOW WE'LL SCREEN TRAVELLERS: ASK THEM HOW THEY'RE FELLING! 
October 10, 2014 Friday  Edition 2; National Edition 	40	Isolation ward firm lifted by Ebola fight while travel companies suffer; Market report 
October 10, 2014 Friday  Edition 1; National Edition 	40	How close to home are the horrors of Ebola?; The disease is a highly efficient killer, but with the West finally alert to the threat, its spread can surely be contained 
October 10, 2014 Friday  Edition 1; National Edition 	40	Nurses calling in sick to avoid risk of infection 
October 10, 2014 Friday  Edition 1; Scotland 	40	Ebola may have spread to Britain; Exit screening. in Africa 'is the key' 
October 10, 2014 Friday  Edition 1; Scotland 	40	Nurses calling in sick to avoid risk of infection 
October 10, 2014 Friday  Edition 1; Scotland 	40	Reports of Ebola-like symptoms spread panic around the world 
October 10, 2014 Friday 	40	Journal: Opinion: Long after this panic, Africa will still be paying the price: The Ebola crisis has put years of progress across the continent at risk. If you fear anything, fear that 
October 10, 2014 Friday 	40	Front: UK airports to screen passengers for symptoms of Ebola 
October 10, 2014 Friday 	40	Front: UK airports to screen for Ebola symptoms 
October 10, 2014 Friday 	40	Ebola crisis: Spanish nurse worsens 
October 10, 2014 Friday 	40	Ebola crisis: Global summit pledges action to beat 'the biggest health threat since Aids': IMF, World Bank and UN admit world's response has not kept pace with illness 
October 10, 2014 Friday 	40	Ebola crisis: 'Survivors should care for victims' 
October 10, 2014 Friday 	40	Journal: Editorial: Ebola: A frightening virus and the curse of fear itself 
October 10, 2014 	40	Ebola Patient Duncan Is Dead 
October 9, 2014 Thursday 	40	EUROZONE FLIRTS WITH DISASTER 
October 9, 2014 Thursday 	40	FURIOUS SPANISH MOB IN DEMO AFTER VICTIM'S PET DOG IS PUT DOWN 
October 9, 2014 Thursday  Edition 1; National Edition 	40	Tesco moves up again with analyst support but Ebola worries hit FTSE; Market report 
October 9, 2014 Thursday  Edition 2; National Edition 	40	Tesco moves up again with analyst support but Ebola worries hit FTSE; Market report 
October 9, 2014 Thursday  Edition 1; National Edition 	40	A time to be vigilant; THE DAILY TELEGRAPH Established 1855 
October 9, 2014 Thursday  Edition 1; National Edition 	40	Panic as the West struggles to contain Ebola's spread; Ebola crisis Spanish nurse says her fever was ignored for six days MEDICAL ERRORS 
October 9, 2014 Thursday  Edition 1; National Edition 	40	Dog's death angers animal lovers; Pet pays price 
October 9, 2014 Thursday 	40	Front: High price paid to stop virus 
October 9, 2014 Thursday 	40	Front: Global 'failure' to grip Ebola crisis attacked: Demand for $2obn fund as cases in: Spain and US fuel fear of pandemic 
October 9, 2014 Thursday 	40	Ebola crisis: Is the UK prepared? 
October 9, 2014 Thursday 	40	Ebola crisis: Top hospitals prepare for possibility of UK outbreak: Isolation wards prepared and 600 extra military personnel sent to Sierra Leone 
October 9, 2014 Thursday 	40	Ebola crisis: Lapse in responsibility: Spanish health workers tell of scant training on disease 
October 8, 2014 Wednesday  Edition 1; National Edition 	40	Ebola worries and lower IMF global growth forecast weigh on equities; Market report 
October 8, 2014 Wednesday  Edition 2; National Edition 	40	Ebola worries and lower IMF global growth forecast weigh on equities; Market report 
October 8, 2014 Wednesday  Edition 2; National Edition 	40	British fiancee can only talk to Ebola victim by video link 
October 8, 2014 Wednesday  Edition 2; National Edition 	40	Keep calm, pleads Spain amid fears deadly virus could spread 
October 8, 2014 Wednesday  Edition 3; National Edition 	40	Hospitals on standby for UK Ebola outbreak 
October 8, 2014 Wednesday 	40	Front: Ebola case leaves Spanish city in fear 
October 8, 2014 Wednesday 	40	Modern travel makes incidents of Ebola in Europe unavoidable, WHO director warns: PM to chair Cobra meeting on 'very serious situation': Health agency insists that risk in Britain remains low 
October 8, 2014 Wednesday 	40	Arizona's high desert - where the politics of migration means poll trouble for Democrats: Mix of ranchers and Latino voters poses dilemma in next month's elections 
October 8, 2014 Wednesday 	40	FTSE falters again on economy concerns while Ebola fears hit travel shares 
October 7, 2014 Tuesday 	40	NURSE IN SPAIN CONTRACTS EBOLA 
October 7, 2014 Tuesday  Edition 1; National Edition 	40	Spanish nurse becomes first Ebola victim to contract virus outside Africa 
October 7, 2014 Tuesday  Edition 2; National Edition 	40	Nurse is first Ebola case in Europe 
October 7, 2014 Tuesday 	40	Nurse in Spain falls ill with Ebola: First reported case of infection outside Africa Spanish hospitals are ill-equipped, union says 
October 7, 2014 Tuesday 	40	Nurse in Spain falls ill with Ebola: First reported case of infection outside Africa Spanish hospitals are ill-equipped, union says 
October 7, 2014 Tuesday 	40	Analysis: Without care, panic could spread quicker than the virus 
October 7, 2014 Tuesday 	40	Nurse in Spain falls ill with Ebola: First reported case of infection outside Africa Spanish hospitals are ill-equipped, union says 
October 7, 2014 Tuesday 	40	Analysis: Without care, panic could spread quicker than the virus 
October 7, 2014 Tuesday 	40	FTSE slides 1% as Ebola fears hit travel companies and data disappoints 
October 6, 2014 Monday  Edition 1; National Edition 	40	Cameraman with Ebola to land in US as patient in Texas takes turn for the worse 
October 6, 2014 Monday  Edition 2; National Edition 	40	Cameraman with Ebola to land in US as patient in Texas takes turn for the worse 
October 06, 2014 	40	Photo Journalist Identifies With NAPUL 
October 05, 2014 	40	Ready to Defend Ebola Exporter - Woods Stands Up for Duncan 
October 4, 2014 Saturday  Edition 1; National Edition 	39	We've made the Ebola crisis worse 
October 4, 2014 Saturday  Edition 1; National Edition 	39	British-US cameraman falls victim to Ebola virus 
October 3, 2014 Friday  Edition 1; National Edition 	39	Ebola could become airborne, warns UN chief 
October 3, 2014 Friday  Edition 1; National Edition 	39	Unite against horror; THE DAILY TELEGRAPH Established 1855 
October 3, 2014 Friday  Edition 2; National Edition 	39	Ebola could become airborne , warns UN chief 
October 3, 2014 Friday 	39	Ebola cases rise to 'five an hour' in Sierra Leone 
October 03, 2014 	39	Gov't to Prosecute Ebola Man in U.S. 
October 2, 2014 Thursday 	39	EBOLA MAY HAVE BEEN PASSED TO U.S. CHILDREN 
August 25, 2014 Monday 	34	HERO NURSE HIT 
August 25, 2014 Monday 	34	BLOOD-SPATTERED FLOORS AT HOSPITAL WHERE BRAVE UK NURSE GOT EBOLA 
August 25, 2014 Monday 	34	SEALED WARD WILL BE HOME FOR MONTHS 
August 25, 2014 Monday  Edition 1; National Edition 	34	If it works for Ebola, it can work for cancer; A new Bill will, in desperate cases, allow doctors to experiment with untested drugs 
August 25, 2014 Monday  Edition 2; National Edition 	34	Doctors pin hopes on experimental drugs to treat British Ebola patient 
August 25, 2014 Monday  Edition 3; National Edition 	34	First British victim of Ebola is flown home 
August 25, 2014 Monday  Edition 1; Scotland 	34	First British Ebola victim is flown home by the RAF 
August 25, 2014 Monday 	34	Front: British Ebola patient arrives in London for treatment 
August 25, 2014 Monday 	34	British Ebola patient flies to UK for treatment: Healthcare worker to be taken to isolation unit: Risk to the public remains low, says health chief 
August 24, 2014 Sunday 	34	Briton with Ebola virus flown to UK for treatment 
August 24, 2014 Sunday 	34	UK EBOLA ALERT AS INFECTED MEDIC TO FLY HOME 
August 24, 2014 Sunday 	34	HOW NEW 'MIRACLE' SERUM COULD SAVE BRITON 
August 23, 2014 Saturday 	33	European alarm 
August 23, 2014 Saturday 	33	European alarm 
August 22, 2014 Friday  Edition 2; National Edition 	33	I am thrilled to be alive, says American survivor given experimental drug treatment; Ebola outbreak 
August 22, 2014 Friday 	33	'Thrilled to be alive,' the missionaries who beat Ebola after taking experimental drug: Pair contracted the deadly disease working in Liberia: Doctors remain uncertain of therapy's effectiveness 
August 21, 2014 Thursday  Edition 1; National Edition 	33	Violence as Liberia seals off slum to halt spread of Ebola 
August 20, 2014 Wednesday  Edition 1; National Edition 	33	British Army may help to fight Ebola; Minister says soldiers could set up field hospitals Doctors examine blood transfusions as a solution to the crisis 
August 19, 2014 Tuesday  Edition 2; National Edition 	33	A very animated riposte to criticism; One-star review prompts screenwriter to compare Telegraph journalist to Ebola virus and the crisis in Gaza 
August 14, 2014 	32	LP Readies Ebola Equipment From USA - Intends to Donate Cash to Samaritan Purse, LNRC 
August 13, 2014 Wednesday 	32	EBOLA? THAT DOESN'T SCARE ME, SAYS ANNE 
August 13, 2014 Wednesday 	32	EBOLA CLAIMS ITS FIRST LIFE ON EUROPEAN SOIL 
August 13, 2014 Wednesday 	32	EBOLA? THAT DOESN'T SCARE ME, SAYS ANNE 
August 13, 2014 Wednesday 	32	EBOLA CLAIMS ITS FIRST LIFE ON EUROPEAN SOIL 
August 13, 2014 Wednesday  Edition 1; National Edition 	32	Spanish priest becomes the first European to die of Ebola virus 
August 13, 2014 Wednesday 	32	Experimental Ebola drugs given go-ahead 
August 12, 2014 Tuesday 	32	Ebola: Spanish missionary dies of disease after being flown to Madrid 
August 12, 2014 Tuesday 	32	World Health Organisation allow unlicensed Ebola drugs in west Africa 
August 9, 2014 Saturday 	31	EBOLA NOW A THREAT TO WHOLE WORLD 
August 9, 2014 Saturday  Edition 1; National Edition 	31	World health chiefs declare international emergency 
August 9, 2014 Saturday  Edition 2; National Edition 	31	World health chiefs declare international emergency 
August 8, 2014 Friday 	31	ENCASED IN A SEALED PLASTIC CHAMBER, THE FIRST EUROPEAN EBOLA VICTIM RETURNS HOME 
August 8, 2014 Friday  Edition 1; National Edition 	31	Bodies 'dumped in the street' as Liberia faces panic over Ebola outbreak 
August 8, 2014 Friday  Edition 2; National Edition 	31	Bodies 'dumped in the street' as Liberia faces panic over Ebola outbreak 
August 8, 2014 Friday 	31	Division over whether Ebola patients in west Africa should get experimental drug 
August 7, 2014 Thursday  Edition 1; National Edition 	31	Ebola virus victim is flown home to Spain 
August 7, 2014 Thursday 	31	Nigeria confirms new cases of Ebola and death of nurse who treated first victim 
August 7, 2014 Thursday 	31	Nigeria confirms new cases of Ebola and death of nurse who treated first victim 
August 7, 2014 Thursday 	31	Ebola: Spanish missionary infected with virus in Liberia flown to Spain 
August 6, 2014 Wednesday 	31	... AND BRITON IN QUARANTINE' AFTER TRIP TO WEST AFRICA 
August 6, 2014 Wednesday 	31	Soldiers sent to contain Ebola outbreak: Sierra Leone and Liberia seek to quarantine villages Experimental serum used to treat two US victims 
August 5, 2014 Tuesday 	31	THE HOLIDAY BUGS' THAT COULD BE MORE SINISTER THAN YOU THINK 
August 5, 2014 Tuesday  Edition 2; National Edition 	31	Hope for Ebola miracle as serum 'reverses' disease 
August 4, 2014 Monday  Edition 2; National Edition 	31	Ebola 'won't hit the US' 
August 04, 2014 	31	Ebola Vaccine Could Be Available... 
August 04, 2014 	31	Two Americans With Ebola Flown Home 
August 04, 2014 	31	SRSG Welcomes Launch 
August 3, 2014 Sunday 	31	IS THAT IT? UK S TWO-BED EBOLA UNIT 
August 2, 2014 Saturday  Edition 1; National Edition 	30	Ebola crisis 'spiralling out of control' 
August 1, 2014 Friday  Edition 1; National Edition 	30	The last line of defence against Ebola 
July 31, 2014 Thursday 	30	THE UK DOCTOR BATTLING A DEADLY ENEMY 
July 31, 2014 Thursday 	30	PASSENGERS FROM AFRICA WHO SHOW SYMPTOMS WILL BE SENT STRAIGHT TO SECURE ISOLATION UNITS 
July 30, 2014 Wednesday  Edition 1; National Edition 	30	THE CURSE OF EBOLA; Liberia, Nigeria and Sierra Leone are facing the worst ever outbreak of the disease, for which there is no cure and no vaccine. But deadly as the virus is, it is also easily destroyed, says Tom Chivers 
July 29, 2014 Tuesday 	30	IS THE WORLD'S DEADLIEST DISEASE ON ITS WAY TO BRITAIN? 
July 29, 2014 Tuesday 	30	African authorities take action to stem outbreak of Ebola: First death in Nigeria after three other countries hit Protests in Sierra Leone, where 454 have died 
July 29, 2014 Tuesday 	30	African authorities take action to stem outbreak of Ebola: First death in Nigeria after three other countries hit: Protests in Sierra Leone, where 454 have died 
July 29, 2014 	30	American Missionary Tested Positive 
July 28, 2014 Monday 	30	EBOLA COULD SPREAD GLOBALLY' AFTER PLANE BRINGS IT TO NIGERIA 
July 28, 2014 Monday  Edition 2; National Edition 	30	US doctor contracts Ebola as virus spreads 
July 28, 2014 Monday 	30	Top Liberian doctor becomes latest Ebola victim 
October 2, 2014 Thursday  Edition 2; National Edition 	39	Ebola 'will soon become an economic disaster' 
October 2, 2014 Thursday  Edition 1; National Edition 	39	Children exposed to US Ebola victim; Hospital sent home Liberian infected with disease UN confirms its first death as toll in west Africa passes 3,300 
October 2, 2014 Thursday  Edition 2; National Edition 	39	Children exposed to US Ebola victim; oHospital sent home Liberian infected with disease #UN confirms its first death as toll in west Africa passes 3,300 
October 2, 2014 Thursday 	39	Ebola sufferer was sent home from US hospital: Staff were told he had just returned from Liberia: Vomiting patient finally admitted two days later 
